,City,Temperature °F,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
477,Gimli,52.0,99,75,10.0,50.63,-96.99
478,Pascagoula,75.2,88,1,6.33,30.37,-88.56
479,Monster,60.01,96,85,1.01,52.03,4.17
480,Barhi,76.8,83,1,5.28,23.9,80.8
481,Bambous Virieux,73.0,88,40,9.17,-20.34,57.76
482,Kimbe,81.66,79,100,3.13,-5.55,150.14
483,Mount Gambier,57.2,50,0,11.41,-37.83,140.77
484,Sept-Îles,50.0,100,90,3.36,50.2,-66.38
485,Khirkiya,74.3,83,21,1.99,22.17,76.86
486,Nishihara,78.8,74,75,2.24,26.18,127.76
487,Morant Bay,80.6,83,40,8.05,17.88,-76.41
488,Umm Kaddadah,82.45,60,100,5.64,13.6,26.69
489,Williamsport,69.8,77,40,3.36,41.24,-77.0
490,Yar-Sale,35.94,84,26,12.17,66.83,70.83
491,Ixtapa,84.2,83,90,6.93,20.7,-105.2
492,Cravo Norte,79.5,74,0,4.45,6.3,-70.2
493,Quatre Cocos,73.0,88,40,9.17,-20.21,57.76
494,Mirandola,52.0,90,100,5.32,44.89,11.07
495,Machico,71.6,64,40,8.05,32.7,-16.77
496,Nanortalik,36.16,83,0,13.8,60.14,-45.24
497,Yaan,71.62,96,97,4.36,7.38,8.57
498,Bukama,73.36,64,84,0.47,-9.2,25.85
499,Lyngseidet,37.4,69,20,23.04,69.58,20.22
500,Pudozh,48.42,86,0,4.16,61.81,36.53
501,Beyneu,48.78,51,0,10.6,45.32,55.2
502,Santa Catarina de Tepehuanes,63.75,38,0,2.77,25.35,-105.73
503,Carahue,48.2,93,40,3.36,-38.7,-73.17
504,Hamilton,69.01,88,1,4.21,39.18,-84.53
505,Mahibadhoo,81.41,71,30,3.53,3.78,72.97
506,Lorengau,84.76,69,97,6.98,-2.02,147.27
507,Tanete,89.44,45,35,13.33,-3.94,119.78
508,Roebourne,87.33,20,23,10.42,-20.78,117.13
509,Vao,70.45,87,79,20.6,-22.67,167.48
510,Oistins,82.4,78,20,16.11,13.07,-59.53
511,Znamenskoye,42.98,98,36,3.8,57.13,73.83
512,Coahuayana Viejo,79.16,82,48,1.28,18.73,-103.68
513,Tairua,61.0,60,3,21.99,-37.02,175.85
514,Rock Springs,50.0,23,75,14.99,41.59,-109.2
515,Lakatoro,84.2,70,40,3.36,-16.1,167.42
516,San Juan,57.47,35,0,4.92,-31.54,-68.54
517,Philadelphia,72.0,94,90,5.53,39.95,-75.16
518,Heihe,57.2,47,1,8.95,50.24,127.49
519,Hay River,50.0,81,75,9.17,60.82,-115.8
520,Taoudenni,92.26,11,0,6.26,22.68,-3.98
521,Altus,64.4,52,90,36.91,34.64,-99.33
522,Liverpool,46.0,93,77,2.24,53.41,-2.98
523,Morropón,67.62,66,8,3.44,-5.18,-79.97
524,Mozarlândia,84.65,30,48,1.77,-14.74,-50.57
525,São Paulo de Olivença,78.04,70,16,1.79,-3.38,-68.87
526,Great Bend,59.0,47,90,5.82,38.36,-98.76
527,Diamantino,80.35,56,16,3.49,-14.41,-56.45
528,Adrar,88.63,19,0,10.25,20.5,-10.07
529,Abu Samrah,68.16,46,0,5.28,35.3,37.18
530,Umm Hājar,77.88,65,100,4.09,13.3,19.7
531,Linhares,70.93,84,0,5.21,-19.39,-40.07
532,Shelburne,71.6,73,90,4.7,44.08,-80.2
533,Guarapari,78.01,83,44,17.22,-20.67,-40.5
534,Porbandar,80.24,68,0,4.83,21.64,69.61
535,Huarmey,61.2,86,4,6.91,-10.07,-78.15
536,Badarganj,79.86,90,100,7.27,25.67,89.05
537,Rafaela,60.01,50,0,1.01,-31.25,-61.49
538,Melita,53.01,70,78,15.99,49.27,-101.0
539,Sydney,66.99,36,0,11.41,-33.87,151.21
540,Licata,57.2,93,3,4.7,37.11,13.95
541,Vikýřovice,44.01,96,55,3.49,49.98,17.01
542,Ciudad Real,55.99,63,0,5.59,39.0,-4.0
543,Ayorou,86.88,43,89,12.8,14.73,0.92
544,Wad Rāwah,84.81,51,5,6.76,15.16,33.14
545,Quelimane,75.96,62,12,5.3,-17.88,36.89
546,Santa Maria,66.2,93,90,10.29,-29.68,-53.81
547,Batticaloa,80.89,77,4,5.57,7.71,81.69
548,Saint-Raymond,72.0,77,5,10.29,45.47,-73.61
549,Florø,55.4,87,96,7.96,61.6,5.03
550,Makakilo City,87.8,55,1,9.17,21.35,-158.09
551,Storebø,53.6,87,81,5.82,60.09,5.23
552,Ahipara,59.14,54,0,14.34,-35.17,173.17
553,Bahía Honda,79.54,83,38,5.66,22.9,-83.16
554,Lokoja,72.5,92,85,2.91,7.8,6.74
555,Singānallūr,75.2,94,40,6.93,11.0,77.02
556,Fredericton,66.2,88,90,14.99,45.95,-66.67
557,Rodrigues Alves,79.29,62,0,2.33,-7.74,-72.65
558,Chumikan,53.31,84,89,2.28,54.72,135.31
559,Arrecife,73.4,78,75,23.04,28.96,-13.55
560,Fairbanks,53.6,50,1,10.29,64.84,-147.72
561,Grand-Lahou,75.11,93,29,8.55,5.14,-5.02
562,Harmanli,63.0,64,21,7.05,41.93,25.9
563,Chalmette,81.0,78,1,6.93,29.94,-89.96
564,Al Bardīyah,75.63,90,1,8.63,31.76,25.09
565,Pontal do Paraná,68.0,68,40,3.36,-25.65,-48.51
566,Vágur,51.01,92,97,26.06,61.47,-6.81
567,Kumukh,50.23,74,11,1.25,42.17,47.12
568,Cayenne,78.8,94,52,2.24,4.93,-52.33
569,Seymchan,51.64,51,0,14.9,62.88,152.43
570,Malindi,76.15,88,55,5.86,-3.22,40.12
571,Steamboat Springs,45.0,36,1,5.01,40.48,-106.83
572,Griffith,66.99,55,90,6.93,41.53,-87.42
573,Rūdbār,64.06,29,0,6.33,30.15,62.6
574,Dingle,85.53,73,0,4.03,11.0,122.67
575,East Brainerd,72.0,88,40,1.9,35.0,-85.15
576,Amasya Province,60.8,59,22,1.12,40.67,35.83
577,Cintalapa,71.65,91,100,2.28,16.7,-93.73
578,Takoradze,74.84,92,26,8.77,4.88,-1.76
579,Flinders,66.99,53,0,4.0,-34.58,150.86
580,Zhangye,55.26,64,100,6.76,38.93,100.45
581,Krasnokholmskiy,45.5,90,9,4.79,55.99,55.05
582,Rassvet,58.37,62,100,16.53,46.83,40.75
583,Minsk,53.6,100,90,8.95,53.9,27.57
584,São Félix do Xingu,75.43,67,0,2.04,-6.64,-51.99
585,Vardø,45.01,77,31,16.24,70.37,31.11
586,Shingū,75.2,53,20,6.93,33.73,135.98
587,Cascais,62.01,91,0,17.94,38.7,-9.42
588,Soyo,73.8,83,69,6.91,-6.13,12.37
589,Sola,79.75,81,18,18.45,-13.88,167.55
590,Dano,74.39,87,91,4.23,11.15,-3.07
591,Rostovka,45.97,90,57,7.58,55.38,71.89
592,Sokoni,75.2,94,75,11.25,-6.43,39.55
593,Corinth,66.2,77,20,1.23,37.94,22.96
594,Betlitsa,51.17,94,100,12.24,54.01,33.96
595,Seoul,71.6,64,1,0.27,37.57,126.98
596,Chicama,62.37,80,60,5.88,-7.84,-79.15
